Tm,Year,NumGames,TotalWins,HomeWins,WinPct,First_3L_Streak,First_4L_Streak
BOS,1944,156,77,47,0.493589744,12,17
NYG,1944,155,67,39,0.432258065,12,13
PHA,1944,155,72,39,0.464516129,12,13
NYG,1940,152,72,33,0.473684211,12,13
PIT,1938,152,86,44,0.565789474,12,13
NYY,1931,155,94,51,0.606451613,12,14
SLB,1930,154,64,38,0.415584416,12,13
BOS,1929,155,58,32,0.374193548,12,13
CLE,1929,152,81,44,0.532894737,12,13
CHW,1924,154,66,37,0.428571429,12,19
PHA,1924,152,71,36,0.467105263,12,13
CHW,1921,154,62,37,0.402597403,12,13
PIT,1920,155,79,42,0.509677419,12,34
STL,1920,155,75,38,0.483870968,12,37
SLB,1916,158,79,45,0.5,12,13
PIT,1915,156,73,40,0.467948718,12,13
CHC,1914,156,78,46,0.5,12,13
PHI,1910,157,78,40,0.496815287,12,25
PHA,1909,153,95,49,0.620915033,12,13
STL,1909,154,54,26,0.350649351,12,13
WSH,1902,138,61,40,0.442028986,12,13
PHA,1901,137,74,42,0.540145985,12,17
STL,1901,142,76,40,0.535211268,12,19
STL,1900,142,65,40,0.457746479,12,36
CIN,1897,134,76,49,0.567164179,12,13
BLN,1896,132,90,49,0.681818182,12,29
CIN,1893,131,65,37,0.496183206,12,21
PIT,1891,137,55,32,0.401459854,12,33
PHA,1889,138,75,46,0.543478261,12,13
BAL,1888,137,57,30,0.416058394,12,13
PHA,1887,137,64,41,0.467153285,12,13
BAL,1883,96,28,18,0.291666667,12,13
CLV,1880,85,47,24,0.552941176,12,NA
ATH,1875,77,53,28,0.688311688,12,13
LAA,2017,162,80,43,0.49382716,11,12
SFG,2016,162,87,45,0.537037037,11,16
CLE,2014,162,85,48,0.524691358,11,26
KCR,2014,162,89,42,0.549382716,11,30
SEA,2013,162,71,36,0.438271605,11,45
OAK,2012,162,94,50,0.580246914,11,47
PIT,2011,162,72,36,0.444444444,11,12
ARI,2010,162,65,40,0.401234568,11,12
CIN,2010,162,91,49,0.561728395,11,12
DET,2010,162,81,52,0.5,11,48
TEX,2010,162,90,51,0.555555556,11,12
BAL,2009,162,64,39,0.395061728,11,12
HOU,2008,161,86,47,0.534161491,11,57
KCR,2008,162,75,38,0.462962963,11,19
SEA,2007,162,88,49,0.543209877,11,12
LAA,2006,162,89,45,0.549382716,11,26
MIL,2005,162,81,46,0.5,11,12
NYY,2005,162,95,53,0.586419753,11,12
SDP,2005,162,82,46,0.50617284,11,12
OAK,2003,162,96,57,0.592592593,11,12
KCR,2002,162,62,37,0.382716049,11,16
NYY,2002,161,103,52,0.639751553,11,12
PIT,2001,162,62,38,0.382716049,11,12
STL,2000,162,95,50,0.586419753,11,104
HOU,1999,162,97,50,0.598765432,11,49
NYY,1999,162,98,48,0.604938272,11,12
CHW,1998,163,80,44,0.490797546,11,17
NYM,1997,162,88,50,0.543209877,11,12
TOR,1996,162,74,35,0.456790123,11,61
ATL,1995,144,90,44,0.625,11,12
COL,1995,144,77,44,0.534722222,11,29
CIN,1994,115,66,37,0.573913043,11,45
NYM,1991,161,77,40,0.47826087,11,95
PHI,1989,163,67,38,0.411042945,11,26
KCR,1987,162,83,46,0.512345679,11,49
NYM,1987,162,92,49,0.567901235,11,12
PIT,1986,162,64,31,0.395061728,11,12
SEA,1986,162,67,41,0.413580247,11,12
STL,1986,161,79,42,0.49068323,11,12
KCR,1984,162,84,44,0.518518519,11,24
KCR,1982,162,90,56,0.555555556,11,12
DET,1981,109,60,32,0.550458716,11,12
KCR,1979,162,85,46,0.524691358,11,12
SEA,1979,162,67,36,0.413580247,11,12
PHI,1978,162,90,54,0.555555556,11,38
OAK,1977,161,63,35,0.391304348,11,61
TEX,1976,162,76,39,0.469135802,11,31
CHC,1975,162,75,42,0.462962963,11,39
TEX,1975,162,79,39,0.487654321,11,12
SFG,1974,162,72,37,0.444444444,11,12
SFG,1973,162,88,47,0.543209877,11,43
PIT,1972,155,96,49,0.619354839,11,12
BOS,1970,162,87,52,0.537037037,11,30
BOS,1965,162,62,34,0.382716049,11,17
CHW,1962,162,85,43,0.524691358,11,12
PHI,1959,155,64,37,0.412903226,11,28
WSH,1957,154,55,28,0.357142857,11,12
PIT,1950,154,57,33,0.37012987,11,35
PIT,1949,154,71,36,0.461038961,11,16
PHA,1945,153,52,39,0.339869281,11,12
BSN,1943,153,68,38,0.444444444,11,29
STL,1942,156,106,60,0.679487179,11,26
CIN,1939,156,97,55,0.621794872,11,59
STL,1937,157,81,45,0.515923567,11,37
WSH,1936,153,82,42,0.535947712,11,12
CIN,1932,155,60,33,0.387096774,11,12
PHI,1929,154,71,39,0.461038961,11,12
WSH,1929,153,71,37,0.464052288,11,12
PIT,1927,156,94,48,0.602564103,11,NA
NYG,1926,151,74,43,0.490066225,11,17
BRO,1924,154,92,46,0.597402597,11,NA
CHC,1923,154,83,46,0.538961039,11,12
