"","Year","Tm","Home_win_pct","Home_Games","Home_Wins","Away_win_pct","Away_Games","Away_Wins"
"216",1888,"PHA",0.733333333333333,75,55,0.426229508196721,61,26
"217",1888,"PHI",0.560606060606061,66,37,0.484848484848485,66,32
"218",1888,"PIT",0.528571428571429,70,37,0.420289855072464,69,29
"219",1888,"STL",0.731707317073171,82,60,0.581818181818182,55,32
"220",1888,"WHS",0.393939393939394,66,26,0.314285714285714,70,22
"221",1889,"BAL",0.597014925373134,67,40,0.416666666666667,72,30
"222",1889,"BRO",0.704225352112676,71,50,0.623188405797101,69,43
"223",1889,"BSN",0.705882352941177,68,48,0.538461538461538,65,35
"224",1889,"CHC",0.536231884057971,69,37,0.447761194029851,67,30
"225",1889,"CIN",0.635135135135135,74,47,0.432835820895522,67,29
"226",1889,"CLV",0.485294117647059,68,33,0.411764705882353,68,28
"227",1889,"COL",0.521739130434783,69,36,0.338028169014085,71,24
"228",1889,"IND",0.463768115942029,69,32,0.409090909090909,66,27
"229",1889,"KCC",0.5,70,35,0.289855072463768,69,20
"230",1889,"LOU",0.28125,64,18,0.118421052631579,76,9
"231",1889,"NYG",0.746031746031746,63,47,0.529411764705882,68,36
"232",1889,"PHA",0.63013698630137,73,46,0.446153846153846,65,29
"233",1889,"PHI",0.632352941176471,68,43,0.32258064516129,62,20
"234",1889,"PIT",0.571428571428571,70,40,0.328125,64,21
"235",1889,"STL",0.71830985915493,71,51,0.557142857142857,70,39
"236",1889,"WHS",0.428571428571429,56,24,0.23943661971831,71,17
"237",1890,"BAL",0.363636363636364,22,8,0.4375,16,7
"238",1890,"BOS",0.657534246575342,73,48,0.55,60,33
"239",1890,"BRG",0.394736842105263,38,15,0.17741935483871,62,11
"240",1890,"BRO",0.783783783783784,74,58,0.509090909090909,55,28
"241",1890,"BSN",0.651515151515151,66,43,0.485294117647059,68,33
"242",1890,"BUF",0.353846153846154,65,23,0.188405797101449,69,13
"243",1890,"BWW",0.696969696969697,66,46,0.447761194029851,67,30
"244",1890,"CHC",0.648648648648649,74,48,0.538461538461538,65,35
"245",1890,"CHI",0.657142857142857,70,46,0.426470588235294,68,29
"246",1890,"CIN",0.684931506849315,73,50,0.442622950819672,61,27
"247",1890,"CLE",0.5,62,31,0.347826086956522,69,24
"248",1890,"CLV",0.428571428571429,70,30,0.212121212121212,66,14
"249",1890,"COL",0.661971830985915,71,47,0.463768115942029,69,32
"250",1890,"LOU",0.77027027027027,74,57,0.5,62,31
"251",1890,"NYG",0.560606060606061,66,37,0.376811594202899,69,26
"252",1890,"NYI",0.712121212121212,66,47,0.409090909090909,66,27
"253",1890,"PBB",0.569230769230769,65,37,0.348484848484849,66,23
"254",1890,"PHA",0.5,72,36,0.3,60,18
"255",1890,"PHI",0.710526315789474,76,54,0.421052631578947,57,24
"256",1890,"PHQ",0.538461538461538,65,35,0.492537313432836,67,33
"257",1890,"PIT",0.35,40,14,0.0918367346938776,98,9
"258",1890,"ROC",0.634920634920635,63,40,0.328571428571429,70,23
"259",1890,"STL",0.625,72,45,0.492537313432836,67,33
"260",1890,"SYR",0.5,60,30,0.367647058823529,68,25
"261",1890,"TOL",0.588235294117647,68,40,0.424242424242424,66,28
"262",1891,"BAL",0.628571428571429,70,44,0.391304347826087,69,27
"263",1891,"BOS",0.728571428571429,70,51,0.608695652173913,69,42
"264",1891,"BRO",0.569444444444444,72,41,0.307692307692308,65,20
"265",1891,"BSN",0.698630136986301,73,51,0.537313432835821,67,36
"266",1891,"CHC",0.641791044776119,67,43,0.557142857142857,70,39
"267",1891,"CIN",0.388059701492537,67,26,0.422535211267606,71,30
"268",1891,"CKK",0.533333333333333,45,24,0.333333333333333,57,19
"269",1891,"CLV",0.579710144927536,69,40,0.347222222222222,72,25
"270",1891,"COL",0.532258064516129,62,33,0.368421052631579,76,28
"271",1891,"LOU",0.549295774647887,71,39,0.220588235294118,68,15
"272",1891,"MIL",0.761904761904762,21,16,0.333333333333333,15,5
"273",1891,"NYG",0.565217391304348,69,39,0.477611940298507,67,32
"274",1891,"PHA",0.597222222222222,72,43,0.422535211267606,71,30
"275",1891,"PHI",0.507246376811594,69,35,0.478260869565217,69,33
"276",1891,"PIT",0.484848484848485,66,32,0.323943661971831,71,23
"277",1891,"STL",0.702702702702703,74,52,0.507692307692308,65,33
"278",1891,"WAS",0.388888888888889,72,28,0.238805970149254,67,16
"279",1892,"BLN",0.376623376623377,77,29,0.226666666666667,75,17
"280",1892,"BRO",0.653846153846154,78,51,0.55,80,44
"281",1892,"BSN",0.710526315789474,76,54,0.631578947368421,76,48
"282",1892,"CHC",0.537313432835821,67,36,0.425,80,34
"283",1892,"CIN",0.5625,80,45,0.493333333333333,75,37
"284",1892,"CLV",0.683544303797468,79,54,0.527027027027027,74,39
"285",1892,"LOU",0.528571428571429,70,37,0.30952380952381,84,26
"286",1892,"NYG",0.531645569620253,79,42,0.391891891891892,74,29
"287",1892,"PHI",0.679012345679012,81,55,0.432432432432432,74,32
"288",1892,"PIT",0.606741573033708,89,54,0.393939393939394,66,26
"289",1892,"STL",0.493333333333333,75,37,0.2375,80,19
"290",1892,"WHS",0.485714285714286,70,34,0.289156626506024,83,24
"291",1893,"BLN",0.6,60,36,0.342857142857143,70,24
"292",1893,"BRO",0.641791044776119,67,43,0.349206349206349,63,22
"293",1893,"BSN",0.753846153846154,65,49,0.560606060606061,66,37
"294",1893,"CHC",0.520547945205479,73,38,0.327272727272727,55,18
"295",1893,"CIN",0.560606060606061,66,37,0.430769230769231,65,28
"296",1893,"CLV",0.671428571428571,70,47,0.440677966101695,59,26
"297",1893,"LOU",0.452830188679245,53,24,0.356164383561644,73,26
"298",1893,"NYG",0.690140845070423,71,49,0.292307692307692,65,19
"299",1893,"PHI",0.651515151515151,66,43,0.432835820895522,67,29
"300",1893,"PIT",0.73972602739726,73,54,0.46551724137931,58,27
"301",1893,"STL",0.555555555555556,72,40,0.26984126984127,63,17
"302",1893,"WHS",0.428571428571429,49,21,0.234567901234568,81,19
"303",1894,"BLN",0.776119402985075,67,52,0.596774193548387,62,37
"304",1894,"BRO",0.608695652173913,69,42,0.424242424242424,66,28
"305",1894,"BSN",0.698412698412698,63,44,0.557142857142857,70,39
"306",1894,"CHC",0.514705882352941,68,35,0.318840579710145,69,22
"307",1894,"CIN",0.560606060606061,66,37,0.264705882352941,68,18
"308",1894,"CLV",0.593220338983051,59,35,0.464788732394366,71,33
"309",1894,"LOU",0.387096774193548,62,24,0.173913043478261,69,12
"310",1894,"NYG",0.690140845070423,71,49,0.573529411764706,68,39
"311",1894,"PHI",0.676056338028169,71,48,0.377049180327869,61,23
"312",1894,"PIT",0.613333333333333,75,46,0.327586206896552,58,19
"313",1894,"STL",0.515151515151515,66,34,0.328358208955224,67,22
"314",1894,"WHS",0.516129032258065,62,32,0.185714285714286,70,13
"315",1895,"BLN",0.805970149253731,67,54,0.507692307692308,65,33
"316",1895,"BRO",0.641791044776119,67,43,0.417910447761194,67,28
"317",1895,"BSN",0.705882352941177,68,48,0.353846153846154,65,23
"318",1895,"CHC",0.641791044776119,67,43,0.439393939393939,66,29
"319",1895,"CIN",0.646153846153846,65,42,0.358208955223881,67,24
"320",1895,"CLV",0.790322580645161,62,49,0.5,70,35
"321",1895,"LOU",0.322033898305085,59,19,0.216216216216216,74,16
"322",1895,"NYG",0.597014925373134,67,40,0.4,65,26
"323",1895,"PHI",0.698630136986301,73,51,0.45,60,27
"324",1895,"PIT",0.656716417910448,67,44,0.397058823529412,68,27
"325",1895,"STL",0.367647058823529,68,25,0.205882352941176,68,14
"326",1895,"WHS",0.449275362318841,69,31,0.1875,64,12
"327",1896,"BLN",0.73134328358209,67,49,0.630769230769231,65,41
"328",1896,"BRO",0.538461538461538,65,35,0.338235294117647,68,23
"329",1896,"BSN",0.626865671641791,67,42,0.492307692307692,65,32
"330",1896,"CHC",0.617647058823529,68,42,0.453125,64,29
"331",1896,"CIN",0.772727272727273,66,51,0.419354838709677,62,26
"332",1896,"CLV",0.671875,64,43,0.52112676056338,71,37
"333",1896,"LOU",0.390625,64,25,0.185714285714286,70,13
"334",1896,"NYG",0.590909090909091,66,39,0.373134328358209,67,25
"335",1896,"PHI",0.608695652173913,69,42,0.327868852459016,61,20
"336",1896,"PIT",0.53030303030303,66,35,0.476923076923077,65,31
"337",1896,"STL",0.435483870967742,62,27,0.188405797101449,69,13
"338",1896,"WHS",0.558823529411765,68,38,0.307692307692308,65,20
"339",1897,"BLN",0.739130434782609,69,51,0.582089552238806,67,39
"340",1897,"BRO",0.542857142857143,70,38,0.348484848484849,66,23
"341",1897,"BSN",0.805970149253731,67,54,0.573529411764706,68,39
"342",1897,"CHC",0.537313432835821,67,36,0.323943661971831,71,23
"343",1897,"CIN",0.720588235294118,68,49,0.409090909090909,66,27
"344",1897,"CLV",0.753846153846154,65,49,0.298507462686567,67,20
"345",1897,"LOU",0.5,68,34,0.264705882352941,68,18
"346",1897,"NYG",0.671052631578947,76,51,0.516129032258065,62,32
"347",1897,"PHI",0.477611940298507,67,32,0.343283582089552,67,23
"348",1897,"PIT",0.584615384615385,65,38,0.314285714285714,70,22
