Year,Tm,Home_win_pct,Home_Games,Home_Wins,Away_win_pct,Away_Games,Away_Wins,Difference,Absolute Difference
1950,STL,0.631578947,76,48,0.38961039,77,30,0.241968558,0.241968558
1967,CAL,0.638554217,83,53,0.397435897,78,31,0.241118319,0.241118319
1918,PHA,0.514705882,68,35,0.274193548,62,17,0.240512334,0.240512334
1908,WSH,0.551282051,78,43,0.311688312,77,24,0.23959374,0.23959374
1930,PHI,0.454545455,77,35,0.215189873,79,17,0.239355581,0.239355581
1945,CHW,0.594594595,74,44,0.355263158,76,27,0.239331437,0.239331437
1902,SLB,0.671232877,73,49,0.432835821,67,29,0.238397056,0.238397056
1972,BOS,0.666666667,78,52,0.428571429,77,33,0.238095238,0.238095238
1873,WAS,0.333333333,18,6,0.095238095,21,2,0.238095238,0.238095238
1903,CLE,0.662162162,74,49,0.424242424,66,28,0.237919738,0.237919738
1962,SFG,0.743902439,82,61,0.506024096,83,42,0.237878343,0.237878343
1891,BAL,0.628571429,70,44,0.391304348,69,27,0.237267081,0.237267081
1898,BSN,0.784810127,79,62,0.547945205,73,40,0.236864921,0.236864921
1981,CHC,0.465517241,58,27,0.229166667,48,11,0.236350575,0.236350575
1939,BRO,0.653846154,78,51,0.417721519,79,33,0.236124635,0.236124635
1914,BAL,0.638554217,83,53,0.402597403,77,31,0.235956814,0.235956814
1918,BOS,0.7,70,49,0.464285714,56,26,0.235714286,0.235714286
1932,NYY,0.805194805,77,62,0.569620253,79,45,0.235574552,0.235574552
1902,BRO,0.652173913,69,45,0.416666667,72,30,0.235507246,0.235507246
1897,LOU,0.5,68,34,0.264705882,68,18,0.235294118,0.235294118
1885,PRO,0.607843137,51,31,0.372881356,59,22,0.234961781,0.234961781
2007,TEX,0.580246914,81,47,0.345679012,81,28,0.234567901,0.234567901
1977,PHI,0.740740741,81,60,0.50617284,81,41,0.234567901,0.234567901
2014,SDP,0.592592593,81,48,0.358024691,81,29,0.234567901,0.234567901
2007,MIL,0.62962963,81,51,0.395061728,81,32,0.234567901,0.234567901
2006,PIT,0.530864198,81,43,0.296296296,81,24,0.234567901,0.234567901
1986,LAD,0.567901235,81,46,0.333333333,81,27,0.234567901,0.234567901
1977,ATL,0.49382716,81,40,0.259259259,81,21,0.234567901,0.234567901
1967,ATL,0.592592593,81,48,0.358024691,81,29,0.234567901,0.234567901
1977,STL,0.626506024,83,52,0.392405063,79,31,0.234100961,0.234100961
1931,CIN,0.493506494,77,38,0.25974026,77,20,0.233766234,0.233766234
1930,WSH,0.727272727,77,56,0.493506494,77,38,0.233766234,0.233766234
1880,BSN,0.581395349,43,25,0.348837209,43,15,0.23255814,0.23255814
1891,CLV,0.579710145,69,40,0.347222222,72,25,0.232487923,0.232487923
1897,BSN,0.805970149,67,54,0.573529412,68,39,0.232440737,0.232440737
1884,LOU,0.732142857,56,41,0.5,54,27,0.232142857,0.232142857
1946,BOS,0.782051282,78,61,0.551282051,78,43,0.230769231,0.230769231
1893,CLV,0.671428571,70,47,0.440677966,59,26,0.230750605,0.230750605
1890,CHI,0.657142857,70,46,0.426470588,68,29,0.230672269,0.230672269
1906,NYY,0.697368421,76,53,0.46835443,79,37,0.229013991,0.229013991
1887,PHA,0.577464789,71,41,0.348484848,66,23,0.22897994,0.22897994
1940,NYY,0.684210526,76,52,0.455696203,79,36,0.228514324,0.228514324
1879,PRO,0.80952381,42,34,0.581395349,43,25,0.228128461,0.228128461
1900,BSN,0.575342466,73,42,0.347826087,69,24,0.227516379,0.227516379
2008,MIN,0.654320988,81,53,0.426829268,82,35,0.227491719,0.227491719
1899,BRO,0.782051282,78,61,0.555555556,72,40,0.226495726,0.226495726
2008,CHW,0.658536585,82,54,0.432098765,81,35,0.22643782,0.22643782
1909,SLB,0.506329114,79,40,0.28,75,21,0.226329114,0.226329114
1966,HOU,0.555555556,81,45,0.329268293,82,27,0.226287263,0.226287263
1978,BOS,0.719512195,82,59,0.49382716,81,40,0.225685035,0.225685035
1887,STL,0.794520548,73,58,0.569230769,65,37,0.225289779,0.225289779
1901,MLA,0.457142857,70,32,0.231884058,69,16,0.225258799,0.225258799
1985,MIN,0.583333333,84,49,0.358974359,78,28,0.224358974,0.224358974
1907,CIN,0.530864198,81,43,0.306666667,75,23,0.224197531,0.224197531
1895,BRO,0.641791045,67,43,0.417910448,67,28,0.223880597,0.223880597
1934,PHI,0.492957746,71,35,0.269230769,78,21,0.223726977,0.223726977
1898,CHC,0.651685393,89,58,0.428571429,63,27,0.223113965,0.223113965
2011,MIL,0.703703704,81,57,0.481481481,81,39,0.222222222,0.222222222
2003,OAK,0.703703704,81,57,0.481481481,81,39,0.222222222,0.222222222
1964,BOS,0.555555556,81,45,0.333333333,81,27,0.222222222,0.222222222
2015,LAD,0.679012346,81,55,0.456790123,81,37,0.222222222,0.222222222
2010,STL,0.641975309,81,52,0.419753086,81,34,0.222222222,0.222222222
1989,KCR,0.679012346,81,55,0.456790123,81,37,0.222222222,0.222222222
1987,HOU,0.580246914,81,47,0.358024691,81,29,0.222222222,0.222222222
2018,PHI,0.604938272,81,49,0.382716049,81,31,0.222222222,0.222222222
1999,SDP,0.567901235,81,46,0.345679012,81,28,0.222222222,0.222222222
1962,CIN,0.716049383,81,58,0.49382716,81,40,0.222222222,0.222222222
1882,TRO,0.523809524,42,22,0.302325581,43,13,0.221483942,0.221483942
1965,CAL,0.575,80,46,0.353658537,82,29,0.221341463,0.221341463
1958,BAL,0.58974359,78,46,0.368421053,76,28,0.221322537,0.221322537
1900,NYG,0.535211268,71,38,0.314285714,70,22,0.220925553,0.220925553
1877,LOU,0.689655172,29,20,0.46875,32,15,0.220905172,0.220905172
1955,CIN,0.597402597,77,46,0.376623377,77,29,0.220779221,0.220779221
1890,PBB,0.569230769,65,37,0.348484848,66,23,0.220745921,0.220745921
